Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,..
Argentina,ARG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,0.829509973526001,0.791949987411499,..
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.2668264051226,1.41676024344495,2.43506169195401
Argentina,ARG,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.305331655980872,0.315411414579978,0.328152403666028
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8496.428156755,10636.1155301986,13686.0086737317
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.8126108522948,9.35717585932072,4.27316373772393
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20787.857870615,23754.3613898843,26504.5905619696
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,..,..,..
Argentina,ARG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,0.602144718170166,..,..
Argentina,ARG,"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,0.613279402256012,..,..
Argentina,ARG,"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,0.591290056705475,..,..
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.51438646,87.15070683,88.37535691
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.892,75.39,..
Argentina,ARG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..
Argentina,ARG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..
Argentina,ARG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..,..,..
Argentina,ARG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Argentina,ARG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..
Argentina,ARG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763,45808747,46234830
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,1.1,1,..
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,42,37.3,39.2
Argentina,ARG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,37,36.9,..
Argentina,ARG,Rail lines (total route-km),IS.RRS.TOTL.KM,..,..,..
Argentina,ARG,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,1236.8935546875,..,..
Argentina,ARG,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,..,..,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,..
Australia,AUS,Children out of school (% of primary school age),SE.PRM.UNER.ZS,0.580850005149841,0.367810010910034,..
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.15357967832783,1.59945429689856,4.00609815960534
